steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
10,Counter-Strike,game,9.99,11/1/00 00:00,88,88199,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1447887426
20,Team Fortress Classic,game,129,4/1/99 00:00,,2783,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/20/header.jpg?t=1447350811
30,Day of Defeat,game,4.99,5/1/03 00:00,79,2739,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/30/header.jpg?t=1447350812
40,Deathmatch Classic,game,4.99,6/1/01 00:00,,1028,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/40/header.jpg?t=1447350812
50,Half-Life: Opposing Force,game,4.99,11/1/99 00:00,,3469,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/50/header.jpg?t=1447350813
60,Ricochet,game,4.99,11/1/00 00:00,,2268,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/60/header.jpg?t=1484669868
70,Half-Life,game,9.99,11/8/98 00:00,96,16632,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/70/header.jpg?t=1447890508
80,Counter-Strike: Condition Zero,game,9.99,3/1/04 00:00,65,8570,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg?t=1447889920
130,Half-Life: Blue Shift,game,4.99,6/1/01 00:00,71,2593,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/130/header.jpg?t=1447350816
220,Half-Life 2,game,9.99,11/16/04 00:00,96,46209,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/220/header.jpg?t=1490209090
240,Counter-Strike: Source,game,19.99,11/1/04 00:00,88,62254,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/240/header.jpg?t=1487174791
280,Half-Life: Source,game,0,6/1/04 00:00,,2990,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/280/header.jpg?t=1447350819
300,Day of Defeat: Source,game,9.99,7/12/10 00:00,80,8365,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/300/header.jpg?t=1490210544
320,Half-Life 2: Deathmatch,game,4.99,11/1/04 00:00,,4884,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/320/header.jpg?t=1447350821
340,Half-Life 2: Lost Coast,game,0,10/27/05 00:00,,4844,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/340/header.jpg?t=1447350821
360,Half-Life Deathmatch: Source,game,0,5/1/06 00:00,,1028,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/360/header.jpg?t=1447350852
380,Half-Life 2: Episode One,game,7.99,6/1/06 00:00,87,5118,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/380/header.jpg?t=1456867730
400,Portal,game,9.99,10/10/07 00:00,90,33666,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/400/header.jpg?t=1490208592
420,Half-Life 2: Episode Two,game,7.99,10/10/07 00:00,90,9777,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/420/header.jpg?t=1456867684
440,Team Fortress 2,game,0,10/10/07 00:00,92,434500,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/440/header.jpg?t=1490209487
500,Left 4 Dead,game,19.99,11/17/08 00:00,89,12049,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/500/header.jpg?t=1490209629
550,Left 4 Dead 2,game,19.99,11/16/09 00:00,89,172836,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1490209623
570,Dota 2,game,0,7/9/13 00:00,90,715018,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/570/header.jpg?t=1486407127
620,Portal 2,game,19.99,4/18/11 00:00,95,92195,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/620/header.jpg?t=1490208943
630,Alien Swarm,game,0,7/19/10 00:00,77,16339,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/630/header.jpg?t=1447353182
730,Counter-Strike: Global Offensive,game,15,8/21/12 00:00,83,1873116,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/730/header.jpg?t=1490209724
1002,Rag Doll Kung Fu,game,9.99,10/12/05 00:00,69,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1002/header.jpg?t=1447350828
1200,Red Orchestra: Ostfront 41-45,game,9.99,3/14/06 00:00,81,1361,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1200/header.jpg?t=1447350836
1250,Killing Floor,game,19.99,5/14/09 00:00,72,47207,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1250/header.jpg?t=1464640213
1300,SiN Episodes: Emergence,game,9.99,5/10/06 00:00,75,416,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1300/header.jpg?t=1464638889
1500,Darwinia,game,9.99,7/14/05 00:00,84,511,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1500/header.jpg?t=1460468361
1510,Uplink,game,9.99,8/23/06 00:00,75,1467,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1510/header.jpg?t=1478098895
1520,DEFCON,game,9.99,9/29/06 00:00,84,1886,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1520/header.jpg?t=1478098162
1530,Multiwinia,game,9.99,9/19/08 00:00,76,373,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/1530/header.jpg?t=1478098656
1600,Dangerous Waters,game,14.99,2/7/06 00:00,82,129,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1600/header.jpg?t=1447350835
1610,Space Empires IV Deluxe,game,9.99,2/7/06 00:00,79,106,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1610/header.jpg?t=1447350836
1620,Jagged Alliance 2 Gold,game,19.99,7/6/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1620/header.jpg?t=1447350856
1630,Disciples II: Rise of the Elves ,game,6.99,7/6/06 00:00,80,400,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1630/header.jpg?t=1447350856
1640,Disciples II: Gallean's Return,game,6.99,7/6/06 00:00,84,477,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1640/header.jpg?t=1447350862
1670,Iron Warriors: T - 72 Tank Command ,game,4.99,7/26/06 00:00,56,223,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1670/header.jpg?t=1447350863
1690,Space Empires V,game,14.99,10/16/06 00:00,68,223,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1690/header.jpg?t=1447350865
1700,Arx Fatalis,game,4.99,4/3/07 00:00,77,494,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1700/header.jpg?t=1478190772
1840,Source Filmmaker,game,0,7/10/12 00:00,,11576,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/1840/header.jpg?t=1447356104
1900,Earth 2160,game,4.99,4/1/06 00:00,73,477,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1900/header.jpg?t=1478034392
1930,Two Worlds Epic Edition,game,9.99,4/30/09 00:00,65,2872,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/1930/header.jpg?t=1464111430
2100,Dark Messiah of Might & Magic,game,9.99,10/25/06 00:00,72,3328,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2100/header.jpg?t=1447350903
2200,Quake III Arena,game,14.99,8/3/07 00:00,,834,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2200/header.jpg?t=1447351095
2210,Quake IV,game,14.99,8/4/11 00:00,81,613,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2210/header.jpg?t=1447351610
2270,Wolfenstein 3D,game,4.99,8/3/07 00:00,,1205,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2270/header.jpg?t=1447351096
2280,Ultimate Doom,game,4.99,8/3/07 00:00,,2627,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2280/header.jpg?t=1447351097
2290,Final DOOM,game,4.99,8/3/07 00:00,,459,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2290/header.jpg?t=1447351098
2300,DOOM II,game,4.99,8/3/07 00:00,83,1697,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2300/header.jpg?t=1449848674
2310,QUAKE,game,4.99,8/3/07 00:00,94,1663,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2310/header.jpg?t=1447351100
2320,QUAKE II,game,4.99,8/3/07 00:00,,832,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2320/header.jpg?t=1447351101
2330,QUAKE II Mission Pack: The Reckoning,game,2.99,8/3/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2330/header.jpg?t=1447351102
2340,QUAKE II Mission Pack: Ground Zero,game,2.99,8/3/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/2340/header.jpg?t=1447351102
