steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
20,Team Fortress Classic,game,4.99,1999-04-01 00:00:00,,3123.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/20/header.jpg?t=1447350811
1300,SiN Episodes: Emergence,game,9.99,2006-05-10 00:00:00,75.0,434.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/1300/header.jpg?t=1464638889
1640,Disciples II: Gallean's Return,game,6.99,2006-07-06 00:00:00,84.0,523.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/1640/header.jpg?t=1447350862
1700,Arx Fatalis,game,4.99,2007-04-03 00:00:00,77.0,555.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/1700/header.jpg?t=1478190772
2290,Final DOOM,game,4.99,2007-08-03 00:00:00,,502.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/2290/header.jpg?t=1447351098
2300,DOOM II,game,4.99,2007-08-03 00:00:00,83.0,1933.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/2300/header.jpg?t=1449848674
2540,RIP - Trilogy™,game,4.99,2007-06-01 00:00:00,,308.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/2540/header.jpg?t=1501868093
2570,Vigil: Blood Bitterness™,game,0.0,2007-06-29 00:00:00,61.0,131.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/2570/header.jpg?t=1472555208
2700,RollerCoaster Tycoon® 3: Platinum,game,19.99,2008-03-12 00:00:00,81.0,3175.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/2700/header.jpg?t=1485262035
2720,ThreadSpace: Hyperbol,game,9.99,2007-07-12 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/2720/header.jpg?t=1447351073
2800,X2: The Threat,game,4.99,2006-07-21 00:00:00,72.0,221.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/2800/header.jpg?t=1458207805
2820,X3: Terran Conflict,game,15.99,2008-10-16 00:00:00,73.0,1549.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/2820/header.jpg?t=1494860085
3000,GTI Racing,game,4.99,2006-08-24 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3000/header.jpg?t=1506341353
3020,Call of Juarez™,game,9.99,2007-11-08 00:00:00,72.0,644.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3020/header.jpg?t=1506340484
3380,Dynomite Deluxe,game,4.99,2006-08-30 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3380/header.jpg?t=1447350881
3410,Heavy Weapon Deluxe,game,4.99,2006-08-30 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3410/header.jpg?t=1447350883
3430,Pizza Frenzy Deluxe,game,4.99,2006-08-30 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3430/header.jpg?t=1447350886
3450,Typer Shark! Deluxe,game,4.99,2006-08-30 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3450/header.jpg?t=1447350888
3510,Amazing Adventures The Lost Tomb™,game,4.99,2007-12-13 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3510/header.jpg?t=1447351196
3530,Amazing Adventures Around the World,game,4.99,2009-04-15 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3530/header.jpg?t=1447351774
3590,Plants vs. Zombies GOTY Edition,game,4.99,2009-05-05 00:00:00,87.0,9937.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3590/header.jpg?t=1447351772
3600,Escape Rosecliff Island,game,4.99,2009-04-15 00:00:00,,137.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3600/header.jpg?t=1447351775
3620,Zuma's Revenge!,game,4.99,2009-09-15 00:00:00,78.0,318.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3620/header.jpg?t=1447352467
3910,Sid Meier's Civilization® III Complete,game,4.99,2006-10-25 00:00:00,90.0,1781.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/3910/header.jpg?t=1447350926
4000,Garry's Mod,game,9.99,2006-11-29 00:00:00,,303401.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/4000/header.jpg?t=1497714104
4230,RACE - The WTCC Game,game,39.99,2006-11-24 00:00:00,,148.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/4230/header.jpg?t=1478078220
4290,RACE: Caterham Expansion,game,4.99,2007-06-22 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/4290/header.jpg?t=1478078209
4470,Silverfall: Earth Awakening,game,9.99,2008-07-18 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/4470/header.jpg?t=1447351337
4560,Company of Heroes,game,19.99,2007-07-17 00:00:00,93.0,4790.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/4560/header.jpg?t=1497048828
4720,Condemned: Criminal Origins,game,16.99,2012-10-29 00:00:00,78.0,1168.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/4720/header.jpg?t=1447356915
4760,Rome: Total War™ - Collection,game,9.99,2007-08-28 00:00:00,92.0,6738.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/4760/header.jpg?t=1447351025
4880,Cossacks: European Wars,game,4.99,2011-08-26 00:00:00,74.0,176.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/4880/header.jpg?t=1447354583
6080,Thrillville®: Off the Rails™,game,9.99,2009-07-08 00:00:00,70.0,237.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6080/header.jpg?t=1491021102
6120,Shank,game,9.99,2010-10-25 00:00:00,67.0,1493.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/6120/header.jpg?t=1478110226
6210,Vegas: Make It Big™,game,4.99,2006-12-21 00:00:00,,111.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6210/header.jpg?t=1447350950
6250,Making History: The Calm & the Storm,game,4.99,2007-03-13 00:00:00,70.0,520.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6250/header.jpg?t=1447350978
6270,Ducati World Championship,game,4.99,2007-09-21 00:00:00,35.0,171.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6270/header.jpg?t=1447351133
6310,The Longest Journey,game,9.99,2007-05-01 00:00:00,91.0,982.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6310/header.jpg?t=1479319224
6550,Devil May Cry® 3 Special Edition,game,19.99,2007-06-12 00:00:00,66.0,1900.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6550/header.jpg?t=1447351062
6810,Commandos: Beyond the Call of Duty,game,4.99,2007-03-15 00:00:00,,353.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6810/header.jpg?t=1478799916
6880,Just Cause,game,6.99,2007-03-15 00:00:00,75.0,1855.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6880/header.jpg?t=1501256879
6900,Hitman: Codename 47,game,6.99,2007-03-15 00:00:00,73.0,1283.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/6900/header.jpg?t=1506952399
7210,"Runaway, A Road Adventure",game,9.99,2007-03-14 00:00:00,74.0,283.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/7210/header.jpg?t=1447350992
7660,X-COM: Apocalypse,game,4.99,2008-09-04 00:00:00,,376.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/7660/header.jpg?t=1447351436
7730,X-COM: Interceptor,game,4.99,2008-09-04 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/7730/header.jpg?t=1447351437
7770,X-COM: Enforcer,game,4.99,2008-09-04 00:00:00,65.0,243.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/7770/header.jpg?t=1447351445
7940,Call of Duty® 4: Modern Warfare®,game,19.99,2007-11-12 00:00:00,92.0,7981.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/7940/header.jpg?t=1485220597
8190,Just Cause 2,game,14.99,2010-03-23 00:00:00,84.0,31721.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/8190/header.jpg?t=1501256939
8310,Bone: Out From Boneville,game,0.0,2008-06-17 00:00:00,68.0,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/8310/header.jpg?t=1447351351
8330,Telltale Texas Hold ‘Em,game,2.99,2008-06-17 00:00:00,,101.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/8330/header.jpg?t=1447351362
8350,Strong Bad's Cool Game for Attractive People: Episode 2,game,,,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/8350/header.jpg?t=1467151442
8370,Strong Bad's Cool Game for Attractive People: Episode 4,game,,,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/8370/header.jpg?t=1467151467
8500,EVE Online,game,0.0,2010-12-15 00:00:00,88.0,7474.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/8500/header.jpg?t=1507631666
8880,Freedom Force,game,4.99,2009-05-29 00:00:00,90.0,300.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/8880/header.jpg?t=1447351869
9480,Saints Row 2,game,9.99,2009-01-07 00:00:00,72.0,10427.0,1,0.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/9480/header.jpg?t=1479286077
9500,Gish,game,9.99,2007-07-20 00:00:00,80.0,240.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/9500/header.jpg?t=1447351091
9710,Desperados 2: Cooper's Revenge,game,9.99,2008-03-12 00:00:00,66.0,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/9710/header.jpg?t=1472035505
9730,Tycoon City: New York,game,9.99,2008-03-12 00:00:00,67.0,132.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/9730/header.jpg?t=1486757370
9880,Champions Online,game,0.0,2011-06-14 00:00:00,72.0,2518.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/9880/header.jpg?t=1493835766
9900,Star Trek Online,game,0.0,2012-01-31 00:00:00,76.0,8497.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/9900/header.jpg?t=1507049942
9940,Blade Kitten,game,2.99,2014-05-22 00:00:00,52.0,796.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/9940/header.jpg?t=1447353463
