user_id	playtime_forever	playtime_2weeks	appid
7.65612E+16			
7.65612E+16	93		352460
7.65612E+16			
7.65612E+16	980		4000
	12		2280
	2		2300
	0		9160
	74		17480
	46		550
	0		223530
	0		47870
	4		33910
	4		33930
	0		65700
	0		65720
	0		65780
	0		65790
	0		107430
	0		219540
	2640	241	203770
	22		98400
	247		219640
	33		265630
	51		224260
	3		224580
	34		217200
	258	8	242860
	483		218620
	97		252950
	95		270850
	256	23	222880
	64		225840
	0		289500
	16		292160
	91	91	245620
	81		289130
	113		8980
	101		304930
	234		311690
	20		227940
	203		269210
	0		330990
	90		10
	0		80
	0		100
	139		240
	4401	87	730
	244	85	248610
	0		365300
	0		369420
	342		322330
	253		291550
	0		388120
	8		341310
	0		396160
	0		399790
	0		407230
	114		415030
	31		417860
	53		444090
	0		596350
	0		370770
	0		466890
	220	5	474750
	0		273350
	0		512640
	36		531960
	0		558810
	36		402560
	0		562240
	0		566290
	0		565340
	0		588430
	83		602890
	7		643270
	24		655260
	0		670770
	9		681500
	0		233130
	150		255520
7.65612E+16	1326		4000
	111		550
	0		223530
	159		218230
	120		230410
	0		35450
	83		239820
	56		222880
	10181		304930
	0		306410
	200		227940
	0		321040
	38		238320
	194		730
	1411		381210
	18		386360
	26		352460
	0		400240
	0		428430
	965	12	431960
	36		433800
	323		444090
	0		596350
	0		517710
	0		530700
	522		555570
	60		568810
	69		506540
	577		218620
	0		368420
7.65612E+16	2003		4000
	14		6060
	251		550
	0		223530
	630	98	8930
	64		42700
	1		42710
	21		44320
	0		321040
	78		400
	11		620
	316		63380
	43		233720
	524		206420
	40123	1489	252950
	17		255480
	842		265930
	2569		271590
	75		285900
	0		291210
	4309		295110
	0		362300
	37045	2656	433850
	127		439700
	17		304930
	102108		730
	1742		346900
	133		326460
	444		352460
	5251	216	359550
	0		623990
	231		428690
	420		431240
	38	2	444640
	4095	214	578080
	1		218620
	41		665360
7.65612E+16	0		3920
	9747		4000
	0		17470
	192		24740
	15		29800
	0		34900
	8		24800
	0		43110
	274		17410
	4358		8930
	151		70300
	2350		42910
	7288		105600
	0		7600
	129		96100
	276		400
	8390		72850
	1847		202090
	135		1630
	1		1640
	0		205790
	0		3900
	0		3990
	0		8800
	0		16810
	0		34440
	0		34450
	0		34460
	2107		212680
	322		108800
	1445		113200
	2213		49520
	34845		730
	1856		204300
	0		202970
	145		202990
	0		212910
	1483		216890
	3736		219640
	0		57690
	3122		4920
	313		35720
	502		212480
	947		6370
	2759		113400
	51		200210
	1084		206210
	581		208090
	408		212070
	0		212500
	141		213650
	2246		218230
	7341		230410
	155		231060
	1502		236390
	1514		238960
	839		209870
	733		218330
	89		237310
	0		250740
	209		206500
	214		226320
	79		245550
	0		343450
	312		253710
	901		203160
	23		232010
	491		227680
	534		113020
	15		3910
	814		219740
	894		322330
	69		234190
	744		236090
	974		244850
	9		234390
	0		244070
	88		244590
	1961		248820
	1778		218620
	764		233840
	0		47790
	175		47830
	1255		232810
	0		422420
	5958		250900
	2532		207140
	1328		252490
	16621		252950
	0		238910
	0		244090
	222		261180
	5549		39210
	2628		211820
	19		367540
	1717		230230
	451		373420
	0		268540
	372		550
	0		223530
	22		271290
	4008		271590
	650		222880
	76		290140
	820		291550
	351		246900
	0		255520
	16		265210
	888		295110
	0		362300
	1078		433850
	0		439700
	0		297020
	0		351030
	114		301520
	156		310380
	1043		312530
	693		9880
	584		313160
	36		227940
	7		316010
	303		313340
	101		296470
	174		318430
	124		323850
	496		214490
	857		258970
	197		326160
	70		24240
	14		329380
	259		333930
	73		335240
	16		337270
	16		342150
	6572	127	346110
	0		407530
	0		347560
	0		349700
	0		339280
	0		355840
	59		356670
	3		357480
	12223	257	359320
	766		363970
	0		368720
	11640		374320
	15		375950
	0		377310
	0		380600
	0		383580
	686		386360
	392		386940
	247		352460
	15		398710
	0		399430
	7		57300
	2152		311210
	0		455130
	555		364360
	0		412600
	108		272890
	34		417860
	0		418070
	366		420290
	0		428950
	173		429680
	21		429790
	77		431240
	151	1	431960
	721		437920
	0		438180
	278		244930
	0		34270
	37		205230
	22		205950
	0		448460
	160		442080
	435		273350
	2394		504370
	975		289070
	1		534820
	4271	54	578080
	953		304390
	0		654310
	748		524220
	0		616220
	0		626680
	4		645260
	6		660880
	0		323580
	975	975	435150
7.65612E+16	3446		4000
	2374		730
	128		214490
	17		273110
	2253		236430
	2957		295110
	0		362300
	27		433850
	0		439700
	0		222900
	0		35450
	0		236830
	200		63380
	336		312660
	51		322170
	789		319630
	121142		346110
	0		407530
	12609		271590
	34		368360
	0		369200
	198		376870
	3751		381210
	0		2400
	0		2420
	0		2430
	341		383790
	87		386940
	597		387990
	80		352460
